10_Digit_BBL,GeoBuilding,Latitude,Longitude
4027847501,,,
3002657501,,,
1000250027,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.01000007829556,40.7055820951888],[-74.01001115407543,40.70558171691179],[-74.01005119372876,40.705580350048145],[-74.01005872431203,40.70558009274453],[-74.01006711279484,40.705579806549075],[-74.01007728925856,40.70557945896172],[-74.01008897799204,40.70557905991173],[-74.01011189041789,40.705578278058326],[-74.01029917992433,40.70557188403096],[-74.01038546566319,40.70556893790934],[-74.01063039707776,40.70554954644928],[-74.01065055683881,40.70562862660005],[-74.01043549420203,40.705631452291975],[-74.01030436995451,40.70563317417608],[-74.01021535631136,40.70563434376992],[-74.01019530859814,40.70563460669566],[-74.0101945350739,40.70563699311949],[-74.01018578620678,40.70566400743601],[-74.01018318886679,40.70567202581961],[-74.01026695719654,40.705703420112464],[-74.01027085411835,40.70569739804491],[-74.01028318135278,40.705678349326504],[-74.01040159340228,40.705722726696564],[-74.01038307655976,40.70575134031783],[-74.01039945346731,40.70575747762577],[-74.01038572790458,40.7057786868095],[-74.01034503266042,40.705841572285756],[-74.01030207300269,40.70590795733713],[-74.01029083552994,40.70590374574995],[-74.01004482682764,40.70581154880875],[-74.00994312780874,40.70577343448769],[-74.00997042036964,40.70568173755099],[-74.01000007829556,40.7055820951888]]]]},""properties"":{""name"":null,""base_bbl"":""1000250027"",""shape_area"":""0.0"",""heightroof"":""271.8"",""mpluto_bbl"":""1000250027"",""cnstrct_yr"":""1902"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""13"",""geomsource"":""Photogramm"",""bin"":""1000825"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""454973"",""shape_len"":""0.0""}}",-74.0101770518955,40.7057287779434
1000277502,,,
1013317501,,,
1008587501,,,
1000350010,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.00708534416471,40.70387952613325],[-74.00708976104882,40.703876505545225],[-74.0074962323311,40.704220741781114],[-74.00749395348637,40.70422229981455],[-74.00713420114374,40.70446832262774],[-74.00690982860657,40.704621760972785],[-74.00675722438856,40.70449252231],[-74.00650335672391,40.70427752268411],[-74.00708534416471,40.70387952613325]]]]},""properties"":{""name"":null,""base_bbl"":""1000350010"",""shape_area"":""0.0"",""heightroof"":""344.17"",""mpluto_bbl"":""1000350010"",""cnstrct_yr"":""1968"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""7"",""geomsource"":""Photogramm"",""bin"":""1000868"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""392443"",""shape_len"":""0.0""}}",-74.0069997945696,40.7042491333032
1000400003,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.00799399769728,40.706298704260405],[-74.00801666942115,40.706271938585616],[-74.00817421503703,40.70608594038967],[-74.00821409911471,40.706038852511675],[-74.00804063485404,40.70595376193033],[-74.0082148155473,40.70577421647318],[-74.00826183679726,40.705800368461944],[-74.00840035289961,40.705877407993924],[-74.00864937476761,40.706015907115145],[-74.00888117308344,40.70614482558437],[-74.0090886731762,40.70626022973081],[-74.00887150864041,40.70651661685007],[-74.00885781844802,40.70653277938123],[-74.00879836642426,40.70660296889302],[-74.00870450700724,40.706713780344174],[-74.00858453848109,40.706643696254595],[-74.00844154201717,40.70656015829028],[-74.00829908791722,40.70647693798874],[-74.00815780930378,40.706394402715965],[-74.00801044593624,40.7063083133741],[-74.00799399769728,40.706298704260405]]]]},""properties"":{""name"":null,""base_bbl"":""1000400003"",""shape_area"":""0.0"",""heightroof"":""709.33"",""mpluto_bbl"":""1000400003"",""cnstrct_yr"":""1987"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""22"",""geomsource"":""Photogramm"",""bin"":""1001004"",""lstmoddate"":""2017-08-22T00:00:00.000"",""doitt_id"":""575097"",""shape_len"":""0.0""}}",-74.0085498585126,40.7062439920191
1000430002,"{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[-74.00931225013532,40.70707460817849],[-74.00933201453346,40.70705077634817],[-74.00945252677275,40.70690546271678],[-74.00957456354335,40.706758308184526],[-74.009689767218,40.70661939197298],[-74.00983878264066,40.70671098024404],[-74.01008612640047,40.706863002065525],[-74.01009746620693,40.70686997192927],[-74.01009115775172,40.70687728463417],[-74.01001015455576,40.70697118261548],[-74.00993991176915,40.70705260752892],[-74.00986798165279,40.707135988453715],[-74.00985089118396,40.707155799364216],[-74.00994945756773,40.70720969098803],[-74.01005498630798,40.70726738928065],[-74.00993575775261,40.70739073275222],[-74.00990200912055,40.70742564487857],[-74.00990143765105,40.70742623656359],[-74.00982330255339,40.70737960578151],[-74.00963095290125,40.707264811355316],[-74.00931225013532,40.70707460817849]]]]},""properties"":{""name"":""The Trump Building"",""base_bbl"":""1000430002"",""shape_area"":""0.0"",""heightroof"":""807.01"",""mpluto_bbl"":""1000430002"",""cnstrct_yr"":""1930"",""lststatype"":""Constructed"",""feat_code"":""2100"",""groundelev"":""31"",""geomsource"":""Photogramm"",""bin"":""1001018"",""lstmoddate"":""2020-01-28T00:00:00.000"",""doitt_id"":""77845"",""shape_len"":""0.0""}}",-74.0097048582644,40.7069687923234
1000447501,,,
